epoch,loss,test_accuracy
0,3.204674005508423,0.0
1,3.178485155105591,0.0
2,3.1531381607055664,0.0
3,3.12861704826355,0.0
4,3.10481858253479,0.0
5,3.0818421840667725,0.0
6,3.0593717098236084,0.0
7,3.037442922592163,0.0
8,3.01583194732666,0.0
9,2.994065284729004,0.0
10,2.9720094203948975,0.0
11,2.9500832557678223,0.0
12,2.9281668663024902,0.0
13,2.9064736366271973,0.0
14,2.884493350982666,0.0
15,2.8626084327697754,0.0
16,2.8406152725219727,0.0
17,2.8186094760894775,0.0
18,2.797109365463257,0.0
19,2.7756776809692383,0.0
20,2.754307508468628,0.0
21,2.732898235321045,0.0
22,2.7112627029418945,0.0
23,2.6891465187072754,0.0
24,2.6665287017822266,0.0
25,2.643317699432373,0.0
26,2.619706869125366,0.0
27,2.5957422256469727,0.0
28,2.571316957473755,0.0
29,2.5465643405914307,0.0
30,2.521601915359497,0.09090909361839294
31,2.4961864948272705,0.09090909361839294
32,2.470411539077759,0.09090909361839294
33,2.4443674087524414,0.09090909361839294
34,2.418156147003174,0.09090909361839294
35,2.391690254211426,0.09090909361839294
36,2.364926338195801,0.1818181872367859
37,2.337919235229492,0.1818181872367859
38,2.3107404708862305,0.1818181872367859
39,2.2835490703582764,0.1818181872367859
40,2.256279230117798,0.1818181872367859
41,2.2289552688598633,0.1818181872367859
42,2.20163893699646,0.1818181872367859
43,2.174199104309082,0.1818181872367859
44,2.1467857360839844,0.1818181872367859
45,2.1191694736480713,0.1818181872367859
46,2.091181755065918,0.1818181872367859
47,2.0629665851593018,0.1818181872367859
48,2.0347628593444824,0.1818181872367859
49,2.006744384765625,0.1818181872367859
50,1.9786309003829956,0.1818181872367859
51,1.9506077766418457,0.1818181872367859
52,1.9226574897766113,0.1818181872367859
53,1.8947404623031616,0.1818181872367859
54,1.8669273853302002,0.1818181872367859
55,1.8392024040222168,0.1818181872367859
56,1.811774730682373,0.1818181872367859
57,1.7845535278320312,0.1818181872367859
58,1.7575119733810425,0.1818181872367859
59,1.7306911945343018,0.1818181872367859
60,1.703974723815918,0.1818181872367859
61,1.6774840354919434,0.1818181872367859
62,1.651215672492981,0.1818181872367859
63,1.6253012418746948,0.1818181872367859
64,1.5995402336120605,0.1818181872367859
65,1.5740104913711548,0.1818181872367859
66,1.548884391784668,0.1818181872367859
67,1.5240730047225952,0.1818181872367859
68,1.499602198600769,0.1818181872367859
69,1.4755603075027466,0.1818181872367859
70,1.451717495918274,0.1818181872367859
71,1.4279592037200928,0.1818181872367859
72,1.4046399593353271,0.1818181872367859
73,1.3815515041351318,0.1818181872367859
74,1.3588194847106934,0.1818181872367859
75,1.3366166353225708,0.1818181872367859
76,1.3145838975906372,0.1818181872367859
77,1.2928798198699951,0.1818181872367859
78,1.2718091011047363,0.1818181872367859
79,1.2508167028427124,0.1818181872367859
80,1.230058193206787,0.1818181872367859
81,1.209794521331787,0.1818181872367859
82,1.1897029876708984,0.1818181872367859
83,1.1698399782180786,0.1818181872367859
84,1.1502773761749268,0.1818181872367859
85,1.1310003995895386,0.1818181872367859
86,1.1120659112930298,0.1818181872367859
87,1.0934704542160034,0.1818181872367859
88,1.0751662254333496,0.1818181872367859
89,1.0571707487106323,0.1818181872367859
90,1.0394623279571533,0.1818181872367859
91,1.0220836400985718,0.1818181872367859
92,1.0049915313720703,0.1818181872367859
93,0.9881788492202759,0.1818181872367859
94,0.9716781973838806,0.1818181872367859
95,0.9556043744087219,0.1818181872367859
96,0.9399104714393616,0.1818181872367859
97,0.9243621826171875,0.1818181872367859
98,0.9091837406158447,0.1818181872367859
99,0.894382894039154,0.1818181872367859
100,0.8799229860305786,0.1818181872367859
101,0.8656072616577148,0.1818181872367859
102,0.8516067862510681,0.1818181872367859
103,0.8378931283950806,0.1818181872367859
104,0.8243660926818848,0.1818181872367859
105,0.8111895322799683,0.1818181872367859
106,0.7982915043830872,0.1818181872367859
107,0.7857068777084351,0.1818181872367859
108,0.7733458876609802,0.1818181872367859
109,0.7613061666488647,0.1818181872367859
110,0.7495604157447815,0.1818181872367859
